@relation pm10_data

@attribute PM-10 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
67,0.193182,0.328947,0.235294,0.304348,0.328244,0.297619,0.941176,0.427527
47,0.306818,0.184211,0.176471,0.304348,0.328244,0.297619,0.941176,0.427527
56,0.170455,0.342105,0.235294,0.130435,0.328244,0.297619,0.941176,0.427527
62,0.136364,0.605263,0.352941,0.130435,0.328244,0.297619,0.941176,0.427527
48,0.159091,0.289474,0.411765,0.217391,0.328244,0.297619,0.941176,0.427527
60,0.170455,0.315789,0.117647,0.217391,0.328244,0.297619,0.941176,0.427527
40,0.318182,0.236842,0.294118,0.173913,0.328244,0.297619,0.941176,0.427527
52,0.204545,0.328947,0.235294,0.26087,0.328244,0.297619,0.941176,0.427527
44,0.272727,0.197368,0.235294,0.347826,0.328244,0.297619,0.941176,0.427527
51,0.261364,0.342105,0.294118,0.304348,0.328244,0.297619,0.941176,0.427527
50,0.159091,0.407895,0.411765,0.304348,0.328244,0.297619,0.941176,0.427527
60,0.181818,0.355263,0.235294,0.217391,0.328244,0.297619,0.941176,0.427527
59,0.193182,0.302632,0.294118,0.217391,0.328244,0.297619,0.941176,0.427527
43,0.25,0.210526,0.176471,0.130435,0.328244,0.297619,0.941176,0.427527
52,0.170455,0.460526,0.470588,0.347826,0.399491,0.285714,0.735294,0.559074
61,0.147727,0.447368,0.294118,0.217391,0.399491,0.285714,0.735294,0.559074
70,0.090909,0.526316,0.352941,0.347826,0.399491,0.285714,0.735294,0.559074
68,0.068182,0.486842,0.176471,0.304348,0.399491,0.285714,0.735294,0.559074
49,0.25,0.342105,0.352941,0.130435,0.399491,0.285714,0.735294,0.559074
66,0.125,0.526316,0.352941,0.26087,0.399491,0.285714,0.735294,0.559074
48,0.284091,0.236842,0.176471,0.173913,0.399491,0.285714,0.735294,0.559074
54,0.193182,0.407895,0.294118,0.304348,0.399491,0.285714,0.735294,0.559074
52,0.306818,0.236842,0.235294,0.434783,0.399491,0.285714,0.735294,0.559074
49,0.272727,0.276316,0.235294,0.478261,0.399491,0.285714,0.735294,0.559074
58,0.102273,0.671053,0.352941,0.130435,0.399491,0.285714,0.735294,0.559074
58,0.181818,0.394737,0.411765,0.304348,0.399491,0.285714,0.735294,0.559074
51,0.25,0.25,0.529412,0.26087,0.399491,0.285714,0.735294,0.559074
47,0.272727,0.447368,0.352941,0.347826,0.399491,0.285714,0.735294,0.559074
52,0.227273,0.315789,0.235294,0.521739,0.483461,0.184524,0.735294,0.624848
71,0.113636,0.486842,0.411765,0.304348,0.483461,0.184524,0.735294,0.624848
46,0.25,0.486842,0.352941,0.391304,0.483461,0.184524,0.735294,0.624848
58,0.147727,0.447368,0.411765,0.347826,0.483461,0.184524,0.735294,0.624848
54,0.079545,0.539474,0.529412,0.304348,0.483461,0.184524,0.735294,0.624848
58,0.113636,0.644737,0.411765,0.130435,0.483461,0.184524,0.735294,0.624848
50,0.193182,0.381579,0.294118,0.478261,0.483461,0.184524,0.735294,0.624848
51,0.204545,0.289474,0.235294,0.173913,0.483461,0.184524,0.735294,0.624848
55,0.159091,0.447368,0.294118,0.304348,0.483461,0.184524,0.735294,0.624848
67,0.090909,0.618421,0.411765,0.217391,0.483461,0.184524,0.735294,0.624848
49,0.215909,0.381579,0.352941,0.217391,0.483461,0.184524,0.735294,0.624848
66,0.090909,0.5,0.294118,0.217391,0.483461,0.184524,0.735294,0.624848
54,0.193182,0.315789,0.647059,0.26087,0.483461,0.184524,0.735294,0.624848
64,0.102273,0.421053,0.235294,0.26087,0.483461,0.184524,0.735294,0.624848
73,0.125,0.578947,0.352941,0.130435,0.458015,0.238095,0.735294,0.356882
82,0.170455,0.539474,0.294118,0.173913,0.458015,0.238095,0.735294,0.356882
85,0.238636,0.394737,0.352941,0.26087,0.458015,0.238095,0.735294,0.356882
76,0.329545,0.289474,0.235294,0.347826,0.458015,0.238095,0.735294,0.356882
100,0.113636,0.552632,0.176471,0.347826,0.458015,0.238095,0.735294,0.356882
79,0.181818,0.486842,0.235294,0.130435,0.458015,0.238095,0.735294,0.356882
64,0.284091,0.276316,0.235294,0.217391,0.458015,0.238095,0.735294,0.356882
108,0.125,0.592105,0.352941,0.26087,0.458015,0.238095,0.735294,0.356882
74,0.295455,0.407895,0.352941,0.217391,0.458015,0.238095,0.735294,0.356882
76,0.136364,0.526316,0.411765,0.217391,0.458015,0.238095,0.735294,0.356882
76,0.261364,0.421053,0.235294,0.217391,0.458015,0.238095,0.735294,0.356882
78,0.318182,0.526316,0.352941,0.347826,0.458015,0.238095,0.735294,0.356882
71,0.284091,0.315789,0.588235,0.217391,0.458015,0.238095,0.735294,0.356882
83,0.397727,0.236842,0.235294,0.304348,0.458015,0.238095,0.735294,0.356882
76,0.079545,0.5,0.235294,0.217391,0.328244,0.190476,1,0.291108
45,0.068182,0.486842,0.176471,0.086957,0.328244,0.190476,1,0.291108
42,0.113636,0.486842,0.176471,0.130435,0.328244,0.190476,1,0.291108
42,0.068182,0.394737,0.235294,0.086957,0.328244,0.190476,1,0.291108
26,0.329545,0.223684,0.176471,0.130435,0.328244,0.190476,1,0.291108
43,0.090909,0.5,0.176471,0.130435,0.328244,0.190476,1,0.291108
32,0.136364,0.381579,0.411765,0.173913,0.328244,0.190476,1,0.291108
35,0.25,0.263158,0.176471,0.217391,0.328244,0.190476,1,0.291108
45,0.136364,0.552632,0.235294,0.26087,0.328244,0.190476,1,0.291108
66,0.034091,0.526316,0.117647,0.304348,0.328244,0.190476,1,0.291108
44,0.147727,0.381579,0.235294,0.173913,0.328244,0.190476,1,0.291108
37,0.102273,0.434211,0.176471,0.086957,0.328244,0.190476,1,0.291108
40,0.181818,0.315789,0.176471,0.130435,0.328244,0.190476,1,0.291108
34,0.238636,0.276316,0.176471,0.26087,0.328244,0.190476,1,0.291108
42,0.181818,0.302632,0.235294,0.173913,0.315522,0.261905,0.794118,0.213155
37,0.181818,0.421053,0.235294,0.173913,0.315522,0.261905,0.794118,0.213155
26,0.227273,0.276316,0.352941,0.130435,0.315522,0.261905,0.794118,0.213155
76,0.125,0.421053,0.235294,0.217391,0.315522,0.261905,0.794118,0.213155
35,0.215909,0.289474,0.117647,0.130435,0.315522,0.261905,0.794118,0.213155
34,0.25,0.276316,0.176471,0.086957,0.315522,0.261905,0.794118,0.213155
32,0.25,0.236842,0.176471,0.217391,0.315522,0.261905,0.794118,0.213155
34,0.261364,0.223684,0.176471,0.217391,0.315522,0.261905,0.794118,0.213155
57,0.113636,0.447368,0.058824,0.347826,0.315522,0.261905,0.794118,0.213155
36,0.147727,0.368421,0.176471,0.086957,0.315522,0.261905,0.794118,0.213155
34,0.159091,0.381579,0.176471,0.130435,0.315522,0.261905,0.794118,0.213155
27,0.272727,0.25,0.117647,0.086957,0.315522,0.261905,0.794118,0.213155
23,0.340909,0.210526,0.176471,0.130435,0.315522,0.261905,0.794118,0.213155
35,0.181818,0.236842,0.235294,0.086957,0.315522,0.261905,0.794118,0.213155
45,0.295455,0.157895,0.176471,0.173913,0.292621,0.14881,0.882353,0.369062
43,0.238636,0.131579,0.235294,0.086957,0.292621,0.14881,0.882353,0.369062
47,0.204545,0.25,0.176471,0.217391,0.292621,0.14881,0.882353,0.369062
39,0.238636,0.223684,0.352941,0.130435,0.292621,0.14881,0.882353,0.369062
84,0.125,0.394737,0.176471,0.217391,0.292621,0.14881,0.882353,0.369062
41,0.25,0.236842,0.117647,0.086957,0.292621,0.14881,0.882353,0.369062
45,0.227273,0.236842,0.176471,0.086957,0.292621,0.14881,0.882353,0.369062
65,0.136364,0.394737,0.058824,0.26087,0.292621,0.14881,0.882353,0.369062
52,0.181818,0.276316,0.235294,0.173913,0.292621,0.14881,0.882353,0.369062
46,0.204545,0.289474,0.176471,0.086957,0.292621,0.14881,0.882353,0.369062
38,0.284091,0.236842,0.235294,0.130435,0.292621,0.14881,0.882353,0.369062
51,0.25,0.236842,0.176471,0.086957,0.292621,0.14881,0.882353,0.369062
