@relation pm25_data

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
44,0.086957,0.101266,0.4,0.071429,0.310195,0.360465,0.470588,0.707801
31,0.147826,0.126582,0.266667,0.071429,0.418655,0.27907,0.676471,0.695035
45,0.130435,0.113924,0.4,0.071429,0.425163,0.197674,0.470588,0.794326
63,0.226087,0.113924,0.266667,0.214286,0.386117,0.290698,0.941176,0.496454
16,0.113043,0.139241,0.133333,0.142857,0.262473,0.174419,0.941176,0.253901
33,0.052174,0.227848,0.333333,0.214286,0.273319,0.139535,0.941176,0.502128
24,0.165217,0.063291,0.2,0.214286,0.277657,0.302326,0.882353,0.452482
18,0.104348,0.113924,0.2,0.214286,0.253796,0.302326,0.941176,0.489362
20,0.130435,0.101266,0.2,0.142857,0.305857,0.151163,0.882353,0.47234
33,0.147826,0.088608,0.266667,0.214286,0.301518,0.27907,0.470588,0.514894
26,0.086957,0.126582,0.266667,0.214286,0.236443,0.197674,0.941176,0.384397
24,0.104348,0.088608,0.266667,0.142857,0.21692,0.27907,0.882353,0.443972
16,0.156522,0.050633,0.2,0.071429,0.24295,0.244186,0.470588,0.707801
19,0.173913,0.050633,0.133333,0.142857,0.247289,0.27907,0.941176,0.425532
36,0.06087,0.177215,0.4,0.214286,0.286334,0.162791,0.470588,0.609929
58,0.034783,0.177215,0.466667,0.142857,0.295011,0.046512,0.882353,0.656738
54,0.026087,0.189873,0.4,0.142857,0.312364,0.255814,0.352941,0.801418
24,0.191304,0.037975,0.2,0.071429,0.208243,0.581395,0.882353,0.680851
7,0.217391,0,0.066667,0.071429,0.095445,0.651163,0.882353,0.546099
23,0.130435,0.075949,0.133333,0.214286,0.099783,0.197674,0.882353,0.57305
35,0.078261,0.126582,0.266667,0.285714,0.151844,0.186047,0.882353,0.524823
25,0.086957,0.101266,0.266667,0.214286,0.151844,0.162791,0.941176,0.448227
15,0.208696,0.037975,0.133333,0.214286,0.097614,0.511628,0.882353,0.529078
17,0.182609,0.037975,0.133333,0.142857,0,0.395349,0.794118,0.609929
22,0.069565,0.113924,0.266667,0.142857,0.106291,0.151163,0.205882,0.675177
39,0.086957,0.164557,0.333333,0.214286,0.236443,0.139535,0.529412,0.692199
48,0.086957,0.189873,0.4,0.285714,0.273319,0.360465,0.470588,0.625532
63,0.034783,0.202532,0.466667,0.285714,0.266811,0.232558,0.264706,0.721986
20,0.13913,0.126582,0.133333,0.214286,0.340564,0.348837,0.205882,0.760284
26,0.078261,0.151899,0.2,0.214286,0.347072,0.209302,0.941176,0.72766
22,0.2,0.075949,0.133333,0.142857,0.24295,0.267442,0.941176,0.480851
18,0.2,0.126582,0.133333,0.142857,0.190889,0.418605,0.882353,0.388652
16,0.173913,0.151899,0.2,0.5,0.190889,0.418605,0.882353,0.388652
26,0.104348,0.278481,0.2,0.142857,0.190889,0.209302,0.882353,0.363121
18,0.121739,0.202532,0.333333,0.642857,0.190889,0.209302,0.882353,0.363121
32,0.104348,0.329114,0.266667,0.142857,0.234273,0.290698,0.882353,0.493617
23,0.113043,0.240506,0.4,0.642857,0.234273,0.290698,0.882353,0.493617
26,0.113043,0.253165,0.533333,0.785714,0.264642,0.325581,0.941176,0.404255
36,0.147826,0.278481,0.266667,0.142857,0.264642,0.325581,0.941176,0.404255
20,0.113043,0.227848,0.466667,0.785714,0.260304,0.372093,0.882353,0.333333
21,0.173913,0.227848,0.266667,0.214286,0.260304,0.372093,0.882353,0.333333
21,0.173913,0.164557,0.333333,0.642857,0.240781,0.360465,0.882353,0.340426
27,0.182609,0.189873,0.2,0.214286,0.240781,0.360465,0.882353,0.340426
22,0.13913,0.164557,0.4,0.642857,0.225597,0.197674,0.470588,0.380142
27,0.130435,0.240506,0.2,0.142857,0.225597,0.197674,0.470588,0.380142
33,0.278261,0.113924,0.4,0.714286,0.32321,0.488372,0.529412,0.44539
40,0.234783,0.177215,0.266667,0.142857,0.32321,0.488372,0.529412,0.44539
27,0.243478,0.075949,0.266667,0.5,0.331887,0.5,0.882353,0.292199
28,0.252174,0.075949,0.133333,0.142857,0.331887,0.5,0.882353,0.292199
21,0.113043,0.177215,0.466667,0.785714,0.347072,0.127907,0.411765,0.302128
21,0.086957,0.329114,0.266667,0.142857,0.347072,0.127907,0.411765,0.302128
26,0.147826,0.177215,0.533333,0.857143,0.422993,0.418605,0.264706,0.312057
31,0.06087,0.405063,0.533333,0.357143,0.422993,0.418605,0.264706,0.312057
29,0.017391,0.379747,0.466667,0.142857,0.492408,0.418605,0.264706,0.906383
18,0.104348,0.265823,0.333333,0.5,0.492408,0.418605,0.264706,0.906383
16,0.06087,0.253165,0.533333,0.142857,0.557484,0.453488,0.264706,0.919149
16,0.095652,0.265823,0.666667,0.642857,0.557484,0.453488,0.264706,0.919149
16,0.2,0.025316,0.066667,0.071429,0.273319,0.488372,0.794118,0.653901
18,0.226087,0.075949,0.133333,0.214286,0.273319,0.488372,0.794118,0.653901
16,0.243478,0.050633,0.066667,0.071429,0.203905,0.523256,0.882353,0.411348
15,0.243478,0.101266,0.133333,0.285714,0.203905,0.523256,0.882353,0.411348
16,0.2,0.139241,0.2,0.357143,0.27115,0.465116,0.794118,0.652482
20,0.208696,0.088608,0.133333,0.071429,0.27115,0.465116,0.794118,0.652482
14,0.156522,0.189873,0.266667,0.642857,0.295011,0.302326,0.882353,0.479433
17,0.156522,0.202532,0.2,0.142857,0.295011,0.302326,0.882353,0.479433
24,0.2,0.21519,0.2,0.142857,0.357918,0.360465,0.529412,0.514894
18,0.2,0.227848,0.333333,0.571429,0.357918,0.360465,0.529412,0.514894
33,0.13913,0.265823,0.4,0.571429,0.35141,0.139535,0.470588,0.601418
46,0.104348,0.316456,0.333333,0.142857,0.35141,0.139535,0.470588,0.601418
36,0.147826,0.189873,0.2,0.142857,0.329718,0.511628,0.882353,0.368794
28,0.147826,0.227848,0.333333,0.5,0.329718,0.511628,0.882353,0.368794
19,0.217391,0.126582,0.133333,0.071429,0.284165,0.255814,0.882353,0.253901
13,0.234783,0.139241,0.2,0.428571,0.284165,0.255814,0.882353,0.253901
17,0.13913,0.240506,0.266667,0.428571,0.338395,0.104651,0.264706,0.224113
27,0.078261,0.316456,0.2,0.142857,0.338395,0.104651,0.264706,0.224113
27,0.208696,0.164557,0.266667,0.428571,0.329718,0.465116,0.941176,0.394326
34,0.191304,0.151899,0.2,0.142857,0.329718,0.465116,0.941176,0.394326
15,0.226087,0.126582,0.2,0.357143,0.238612,0.406977,0.882353,0.333333
19,0.234783,0.113924,0.133333,0.071429,0.238612,0.406977,0.882353,0.333333
18,0.226087,0.164557,0.266667,0.5,0.286334,0.360465,0.529412,0.417021
27,0.2,0.202532,0.2,0.142857,0.286334,0.360465,0.529412,0.417021
58,0.191304,0.227848,0.266667,0.071429,0.329718,0.267442,0.470588,0.862411
40,0.217391,0.202532,0.333333,0.428571,0.329718,0.267442,0.470588,0.862411
35,0.165217,0.253165,0.333333,0.5,0.392625,0.290698,0.941176,0.625532
55,0.182609,0.227848,0.2,0.142857,0.392625,0.290698,0.941176,0.625532
34,0.06087,0.278481,0.4,0.5,0.32321,0.27907,0.941176,0.831206
61,0.104348,0.253165,0.266667,0.142857,0.32321,0.27907,0.941176,0.831206
25,0.286957,0.063291,0.066667,0.071429,0.21692,0.569767,0.882353,0.55461
21,0.26087,0.113924,0.2,0.357143,0.21692,0.569767,0.882353,0.55461
19,0.234783,0.139241,0.2,0.428571,0.245119,0.325581,0.882353,0.458156
25,0.2,0.177215,0.133333,0.071429,0.245119,0.325581,0.882353,0.458156
25,0.182609,0.21519,0.133333,0.071429,0.340564,0.5,0.470588,0.590071
15,0.208696,0.202532,0.266667,0.5,0.340564,0.5,0.470588,0.590071
33,0.095652,0.367089,0.266667,0.142857,0.436009,0.162791,0.264706,0.621277
30,0.113043,0.341772,0.466667,0.785714,0.436009,0.162791,0.264706,0.621277
32,0.104348,0.253165,0.4,0.571429,0.488069,0.348837,0.264706,0.791489
43,0.017391,0.405063,0.4,0.142857,0.488069,0.348837,0.264706,0.791489
11,0.165217,0.126582,0.2,0.357143,0.54013,0.767442,0.470588,0.913475
20,0.104348,0.202532,0.333333,0.142857,0.54013,0.767442,0.470588,0.913475
23,0.173913,0.139241,0.266667,0.357143,0.498915,0.232558,0.529412,0.590071
24,0.173913,0.101266,0.133333,0.071429,0.498915,0.232558,0.529412,0.590071
