@relation pm25_data

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
51,0.247059,0.242424,0.277778,0.285714,0.306024,0.110092,0.617647,0.655126
37,0.141176,0.348485,0.444444,0.714286,0.306024,0.110092,0.617647,0.655126
52,0.2,0.212121,0.222222,0.428571,0.306024,0.110092,0.617647,0.655126
31,0.105882,0.5,0.555556,0.428571,0.306024,0.110092,0.617647,0.655126
28,0.152941,0.454545,0.444444,0.428571,0.306024,0.110092,0.617647,0.655126
26,0.082353,0.590909,0.555556,0.428571,0.385542,0,0.205882,0.728362
25,0.094118,0.606061,0.444444,0.428571,0.385542,0,0.205882,0.728362
49,0.247059,0.272727,0.277778,0.285714,0.385542,0,0.205882,0.728362
33,0.082353,0.515152,0.555556,0.714286,0.385542,0,0.205882,0.728362
55,0.105882,0.318182,0.222222,0.428571,0.385542,0,0.205882,0.728362
49,0.211765,0.272727,0.333333,0.285714,0.404819,0.06422,0.676471,0.732357
54,0.188235,0.212121,0.222222,0.571429,0.404819,0.06422,0.676471,0.732357
29,0.082353,0.636364,0.555556,0.428571,0.404819,0.06422,0.676471,0.732357
41,0.129412,0.454545,0.611111,0.857143,0.404819,0.06422,0.676471,0.732357
31,0.082353,0.545455,0.666667,0.428571,0.404819,0.06422,0.676471,0.732357
41,0.223529,0.348485,0.388889,0.714286,0.383133,0.183486,0.088235,0.567244
46,0.2,0.530303,0.611111,0.571429,0.383133,0.183486,0.088235,0.567244
69,0.235294,0.287879,0.222222,0.714286,0.383133,0.183486,0.088235,0.567244
40,0.188235,0.590909,0.555556,0.714286,0.383133,0.183486,0.088235,0.567244
64,0.294118,0.257576,0.333333,0.428571,0.383133,0.183486,0.088235,0.567244
9,0.223529,0.30303,0.166667,0.571429,0.286747,0.229358,0.147059,0.218375
7,0.188235,0.30303,0.277778,0.428571,0.286747,0.229358,0.147059,0.218375
20,0.164706,0.272727,0.111111,0.571429,0.286747,0.229358,0.147059,0.218375
9,0.164706,0.333333,0.222222,0.714286,0.286747,0.229358,0.147059,0.218375
23,0.235294,0.272727,0.222222,0.428571,0.286747,0.229358,0.147059,0.218375
19,0.270588,0.19697,0.277778,0.571429,0.308434,0.229358,0,0.40213
35,0.2,0.272727,0.166667,0.714286,0.308434,0.229358,0,0.40213
18,0.247059,0.30303,0.277778,0.571429,0.308434,0.229358,0,0.40213
22,0.188235,0.333333,0.333333,0.714286,0.308434,0.229358,0,0.40213
30,0.317647,0.212121,0.222222,0.428571,0.308434,0.229358,0,0.40213
16,0.223529,0.212121,0.277778,0.428571,0.293976,0.229358,0,0.525965
32,0.258824,0.181818,0.111111,0.714286,0.293976,0.229358,0,0.525965
16,0.235294,0.272727,0.222222,0.428571,0.293976,0.229358,0,0.525965
17,0.258824,0.212121,0.277778,0.714286,0.293976,0.229358,0,0.525965
27,0.364706,0.136364,0.166667,0.428571,0.293976,0.229358,0,0.525965
13,0.176471,0.333333,0.222222,0.428571,0.257831,0.06422,0.941176,0.76032
14,0.211765,0.272727,0.222222,0.571429,0.257831,0.06422,0.941176,0.76032
22,0.270588,0.227273,0.166667,0.285714,0.257831,0.06422,0.941176,0.76032
27,0.2,0.242424,0.111111,0.571429,0.257831,0.06422,0.941176,0.76032
13,0.164706,0.287879,0.277778,0.428571,0.257831,0.06422,0.941176,0.76032
13,0.164706,0.409091,0.277778,0.428571,0.289157,0.266055,0.735294,0.54727
17,0.188235,0.287879,0.277778,0.571429,0.289157,0.266055,0.735294,0.54727
29,0.270588,0.227273,0.166667,0.285714,0.289157,0.266055,0.735294,0.54727
27,0.223529,0.212121,0.111111,0.571429,0.289157,0.266055,0.735294,0.54727
14,0.141176,0.378788,0.333333,0.428571,0.289157,0.266055,0.735294,0.54727
24,0.235294,0.393939,0.333333,0.714286,0.318072,0.192661,0.088235,0.472703
43,0.258824,0.181818,0.166667,0.714286,0.318072,0.192661,0.088235,0.472703
39,0.341176,0.166667,0.222222,0.285714,0.318072,0.192661,0.088235,0.472703
26,0.211765,0.348485,0.444444,0.571429,0.318072,0.192661,0.088235,0.472703
26,0.270588,0.272727,0.333333,0.714286,0.318072,0.192661,0.088235,0.472703
30,0.388235,0.166667,0.222222,0.428571,0.26506,0.302752,0.088235,0.331558
16,0.282353,0.212121,0.333333,0.571429,0.26506,0.302752,0.088235,0.331558
33,0.258824,0.242424,0.166667,0.714286,0.26506,0.302752,0.088235,0.331558
17,0.270588,0.272727,0.277778,0.714286,0.26506,0.302752,0.088235,0.331558
16,0.258824,0.30303,0.222222,0.571429,0.26506,0.302752,0.088235,0.331558
17,0.388235,0.136364,0.166667,0.428571,0.221687,0.220183,0,0.395473
13,0.258824,0.212121,0.277778,0.571429,0.221687,0.220183,0,0.395473
13,0.258824,0.272727,0.222222,0.714286,0.221687,0.220183,0,0.395473
11,0.270588,0.242424,0.222222,0.571429,0.221687,0.220183,0,0.395473
20,0.258824,0.227273,0.111111,0.571429,0.221687,0.220183,0,0.395473
21,0.364706,0.19697,0.166667,0.285714,0.253012,0.477064,0.735294,0.624501
15,0.305882,0.227273,0.277778,0.857143,0.253012,0.477064,0.735294,0.624501
13,0.258824,0.242424,0.222222,0.428571,0.253012,0.477064,0.735294,0.624501
15,0.247059,0.242424,0.222222,0.428571,0.253012,0.477064,0.735294,0.624501
24,0.305882,0.181818,0.111111,0.571429,0.253012,0.477064,0.735294,0.624501
12,0.223529,0.166667,0.277778,0.428571,0.262651,0.155963,0.735294,0.672437
14,0.211765,0.333333,0.277778,0.428571,0.262651,0.155963,0.735294,0.672437
16,0.247059,0.348485,0.333333,0.714286,0.262651,0.155963,0.735294,0.672437
24,0.247059,0.272727,0.111111,0.571429,0.262651,0.155963,0.735294,0.672437
20,0.341176,0.227273,0.166667,0.142857,0.262651,0.155963,0.735294,0.672437
46,0.164706,0.333333,0.222222,0.571429,0.291566,0.146789,0.735294,0.527297
27,0.152941,0.287879,0.388889,0.571429,0.291566,0.146789,0.735294,0.527297
33,0.117647,0.545455,0.444444,0.714286,0.291566,0.146789,0.735294,0.527297
31,0.105882,0.560606,0.5,0.571429,0.291566,0.146789,0.735294,0.527297
42,0.282353,0.272727,0.222222,0.285714,0.291566,0.146789,0.735294,0.527297
69,0.188235,0.30303,0.222222,0.571429,0.339759,0.137615,0.147059,0.474035
38,0.105882,0.590909,0.5,0.571429,0.339759,0.137615,0.147059,0.474035
63,0.317647,0.257576,0.277778,0.285714,0.339759,0.137615,0.147059,0.474035
43,0.176471,0.454545,0.388889,0.714286,0.339759,0.137615,0.147059,0.474035
35,0.176471,0.272727,0.388889,0.571429,0.339759,0.137615,0.147059,0.474035
