@relation pm10_data

@attribute PM-10 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
50,0.232323,0.188889,0.285714,0.058824,0.305,0.072727,0.264706,0.449507
41,0.141414,0.3,0.190476,0.073529,0.305,0.072727,0.264706,0.449507
52,0.090909,0.344444,0.238095,0.088235,0.305,0.072727,0.264706,0.449507
42,0.20202,0.222222,0.904762,0.102941,0.305,0.072727,0.264706,0.449507
48,0.121212,0.3,0.285714,0.044118,0.305,0.072727,0.264706,0.449507
51,0.161616,0.255556,0.190476,0.029412,0.305,0.072727,0.264706,0.449507
47,0.171717,0.266667,0.238095,0.102941,0.305,0.072727,0.264706,0.449507
40,0.141414,0.488889,0.333333,0.102941,0.305,0.072727,0.264706,0.449507
57,0.191919,0.2,0.333333,0.044118,0.305,0.072727,0.264706,0.449507
47,0.060606,0.4,0.285714,0.073529,0.305,0.072727,0.264706,0.449507
51,0.151515,0.277778,0.238095,0.058824,0.305,0.072727,0.264706,0.449507
53,0.232323,0.2,0.142857,0.102941,0.305,0.072727,0.264706,0.449507
51,0.141414,0.333333,0.285714,0.161765,0.345,0.081818,0.882353,0.544335
52,0.141414,0.344444,0.285714,0.044118,0.345,0.081818,0.882353,0.544335
55,0.141414,0.322222,0.333333,0.073529,0.345,0.081818,0.882353,0.544335
57,0.10101,0.344444,0.285714,0.029412,0.345,0.081818,0.882353,0.544335
52,0.060606,0.388889,0.285714,0.058824,0.345,0.081818,0.882353,0.544335
44,0.10101,0.622222,0.428571,0.058824,0.345,0.081818,0.882353,0.544335
60,0.212121,0.233333,0.190476,0.088235,0.345,0.081818,0.882353,0.544335
53,0.151515,0.333333,0.619048,0.132353,0.345,0.081818,0.882353,0.544335
59,0.20202,0.211111,0.333333,0.044118,0.345,0.081818,0.882353,0.544335
59,0.171717,0.277778,0.380952,0.044118,0.345,0.081818,0.882353,0.544335
45,0.090909,0.388889,0.285714,0.044118,0.345,0.081818,0.882353,0.544335
56,0.030303,0.444444,0.333333,0.044118,0.345,0.081818,0.882353,0.544335
51,0.070707,0.4,0.380952,0.044118,0.345,0.081818,0.882353,0.544335
61,0.090909,0.422222,0.380952,0.132353,0.38,0.136364,0.264706,0.73399
55,0.070707,0.466667,0.380952,0.132353,0.38,0.136364,0.264706,0.73399
61,0.050505,0.433333,0.380952,0.147059,0.38,0.136364,0.264706,0.73399
59,0.10101,0.366667,0.952381,0.102941,0.38,0.136364,0.264706,0.73399
72,0.10101,0.4,0.47619,0.117647,0.38,0.136364,0.264706,0.73399
48,0.151515,0.322222,0.285714,0.147059,0.38,0.136364,0.264706,0.73399
68,0.080808,0.366667,0.380952,0.102941,0.38,0.136364,0.264706,0.73399
62,0.090909,0.544444,0.333333,0.102941,0.38,0.136364,0.264706,0.73399
51,0.060606,0.777778,0.571429,0.191176,0.38,0.136364,0.264706,0.73399
66,0.040404,0.477778,0.380952,0.117647,0.38,0.136364,0.264706,0.73399
65,0.141414,0.355556,0.238095,0.161765,0.38,0.136364,0.264706,0.73399
58,0.161616,0.255556,0.428571,0.044118,0.38,0.136364,0.264706,0.73399
66,0.080808,0.422222,0.571429,0.176471,0.38,0.136364,0.264706,0.73399
64,0.10101,0.722222,0.52381,0.088235,0.3975,0.309091,0.941176,0.44335
82,0.222222,0.333333,0.380952,0.073529,0.3975,0.309091,0.941176,0.44335
69,0.10101,0.411111,0.380952,0.073529,0.3975,0.309091,0.941176,0.44335
65,0.151515,0.533333,0.285714,0.044118,0.3975,0.309091,0.941176,0.44335
79,0.20202,0.333333,0.952381,0.073529,0.3975,0.309091,0.941176,0.44335
65,0.111111,0.433333,0.380952,0.073529,0.3975,0.309091,0.941176,0.44335
66,0.111111,0.433333,0.428571,0.058824,0.3975,0.309091,0.941176,0.44335
76,0.181818,0.366667,0.380952,0.088235,0.3975,0.309091,0.941176,0.44335
64,0.242424,0.233333,0.333333,0.058824,0.3975,0.309091,0.941176,0.44335
91,0.181818,0.4,0.238095,0.102941,0.3975,0.309091,0.941176,0.44335
71,0.111111,0.388889,0.333333,0.058824,0.3975,0.309091,0.941176,0.44335
74,0.121212,0.388889,0.380952,0.058824,0.3975,0.309091,0.941176,0.44335
81,0.181818,0.366667,0.285714,0.088235,0.3975,0.309091,0.941176,0.44335
41,0.111111,0.344444,0.238095,0.058824,0.3025,0.136364,1,0.185961
25,0.090909,0.344444,0.190476,0.044118,0.3025,0.136364,1,0.185961
24,0.050505,0.366667,0.190476,0.044118,0.3025,0.136364,1,0.185961
31,0.161616,0.255556,0.238095,0.058824,0.3025,0.136364,1,0.185961
