@relation pm25_data

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
39,0.197674,0.324324,0.277778,0.114754,0.305,0.072727,0.264706,0.449507
28,0.162791,0.594595,0.388889,0.114754,0.305,0.072727,0.264706,0.449507
38,0.22093,0.243243,0.388889,0.04918,0.305,0.072727,0.264706,0.449507
42,0.069767,0.486486,0.333333,0.081967,0.305,0.072727,0.264706,0.449507
35,0.267442,0.243243,0.166667,0.114754,0.305,0.072727,0.264706,0.449507
40,0.162791,0.405405,0.333333,0.180328,0.345,0.081818,0.882353,0.544335
30,0.116279,0.756757,0.5,0.065574,0.345,0.081818,0.882353,0.544335
37,0.244186,0.283784,0.222222,0.098361,0.345,0.081818,0.882353,0.544335
36,0.232558,0.256757,0.388889,0.04918,0.345,0.081818,0.882353,0.544335
33,0.197674,0.337838,0.444444,0.04918,0.345,0.081818,0.882353,0.544335
40,0.034884,0.540541,0.388889,0.04918,0.345,0.081818,0.882353,0.544335
42,0.116279,0.486486,0.555556,0.131148,0.38,0.136364,0.264706,0.73399
37,0.174419,0.391892,0.333333,0.163934,0.38,0.136364,0.264706,0.73399
34,0.069767,0.945946,0.666667,0.213115,0.38,0.136364,0.264706,0.73399
46,0.046512,0.581081,0.444444,0.131148,0.38,0.136364,0.264706,0.73399
40,0.162791,0.432432,0.277778,0.180328,0.38,0.136364,0.264706,0.73399
38,0.186047,0.310811,0.5,0.04918,0.38,0.136364,0.264706,0.73399
42,0.116279,0.878378,0.611111,0.098361,0.3975,0.309091,0.941176,0.44335
55,0.255814,0.405405,0.444444,0.081967,0.3975,0.309091,0.941176,0.44335
55,0.209302,0.445946,0.444444,0.098361,0.3975,0.309091,0.941176,0.44335
40,0.27907,0.283784,0.388889,0.065574,0.3975,0.309091,0.941176,0.44335
49,0.209302,0.486486,0.277778,0.114754,0.3975,0.309091,0.941176,0.44335
51,0.127907,0.472973,0.388889,0.065574,0.3975,0.309091,0.941176,0.44335
15,0.05814,0.445946,0.222222,0.04918,0.3025,0.136364,1,0.185961
10,0.186047,0.310811,0.277778,0.065574,0.3025,0.136364,1,0.185961
14,0.046512,0.783784,0.388889,0.065574,0.3025,0.136364,1,0.185961
12,0.186047,0.27027,0.222222,0.04918,0.3025,0.136364,1,0.185961
19,0.127907,0.459459,0.166667,0.032787,0.3025,0.136364,1,0.185961
13,0.186047,0.324324,0.333333,0.065574,0.3025,0.136364,1,0.185961
21,0.22093,0.27027,0.333333,0.065574,0.3025,0.318182,0.941176,0.213054
17,0.197674,0.5,0.333333,0.065574,0.3025,0.318182,0.941176,0.213054
18,0.22093,0.27027,0.277778,0.065574,0.3025,0.318182,0.941176,0.213054
20,0.209302,0.283784,0.166667,0.04918,0.3025,0.318182,0.941176,0.213054
21,0.22093,0.324324,0.111111,0.032787,0.3025,0.318182,0.941176,0.213054
20,0.22093,0.243243,0.222222,0.04918,0.3025,0.318182,0.941176,0.213054
22,0.197674,0.256757,0.333333,0.065574,0.2875,0.454545,0.941176,0.268473
23,0.27907,0.148649,0.333333,0.04918,0.2875,0.454545,0.941176,0.268473
25,0.209302,0.27027,0.222222,0.04918,0.2875,0.454545,0.941176,0.268473
26,0.209302,0.310811,0.111111,0.032787,0.2875,0.454545,0.941176,0.268473
21,0.209302,0.418919,0.277778,0.065574,0.2875,0.454545,0.941176,0.268473
25,0.186047,0.243243,0.277778,0.065574,0.2875,0.454545,0.941176,0.268473
14,0.244186,0.189189,0.222222,0.065574,0.26,0.472727,0.794118,0.267241
16,0.244186,0.256757,0.055556,0.032787,0.26,0.472727,0.794118,0.267241
15,0.244186,0.216216,0.166667,0.04918,0.26,0.472727,0.794118,0.267241
13,0.255814,0.189189,0.277778,0.065574,0.26,0.472727,0.794118,0.267241
12,0.22093,0.364865,0.111111,0.065574,0.26,0.472727,0.794118,0.267241
11,0.325581,0.094595,0.277778,0.04918,0.26,0.472727,0.794118,0.267241
16,0.232558,0.256757,0.222222,0.065574,0.28,0.318182,0.882353,0.352217
14,0.244186,0.27027,0.333333,0.065574,0.28,0.318182,0.882353,0.352217
15,0.197674,0.445946,0.166667,0.065574,0.28,0.318182,0.882353,0.352217
20,0.267442,0.283784,0.055556,0.04918,0.28,0.318182,0.882353,0.352217
18,0.162791,0.391892,0.222222,0.04918,0.28,0.318182,0.882353,0.352217
12,0.348837,0.094595,0.277778,0.04918,0.28,0.318182,0.882353,0.352217
28,0.244186,0.243243,0.388889,0.065574,0.2825,0.3,0.882353,0.433498
28,0.290698,0.243243,0.111111,0.114754,0.2825,0.3,0.882353,0.433498
26,0.244186,0.22973,0.277778,0.065574,0.2825,0.3,0.882353,0.433498
31,0.139535,0.391892,0.222222,0.065574,0.2825,0.3,0.882353,0.433498
