@relation pm25_data

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
55,0.193182,0.328947,0.235294,0.304348,0.328244,0.297619,0.941176,0.427527
41,0.306818,0.184211,0.176471,0.304348,0.328244,0.297619,0.941176,0.427527
57,0.170455,0.342105,0.235294,0.130435,0.328244,0.297619,0.941176,0.427527
57,0.136364,0.605263,0.352941,0.130435,0.328244,0.297619,0.941176,0.427527
41,0.159091,0.289474,0.411765,0.217391,0.328244,0.297619,0.941176,0.427527
52,0.170455,0.315789,0.117647,0.217391,0.328244,0.297619,0.941176,0.427527
32,0.318182,0.236842,0.294118,0.173913,0.328244,0.297619,0.941176,0.427527
44,0.204545,0.328947,0.235294,0.26087,0.328244,0.297619,0.941176,0.427527
38,0.272727,0.197368,0.235294,0.347826,0.328244,0.297619,0.941176,0.427527
49,0.261364,0.342105,0.294118,0.304348,0.328244,0.297619,0.941176,0.427527
46,0.159091,0.407895,0.411765,0.304348,0.328244,0.297619,0.941176,0.427527
50,0.181818,0.355263,0.235294,0.217391,0.328244,0.297619,0.941176,0.427527
51,0.193182,0.302632,0.294118,0.217391,0.328244,0.297619,0.941176,0.427527
32,0.25,0.210526,0.176471,0.130435,0.328244,0.297619,0.941176,0.427527
44,0.170455,0.460526,0.470588,0.347826,0.399491,0.285714,0.735294,0.559074
56,0.147727,0.447368,0.294118,0.217391,0.399491,0.285714,0.735294,0.559074
55,0.090909,0.526316,0.352941,0.347826,0.399491,0.285714,0.735294,0.559074
55,0.068182,0.486842,0.176471,0.304348,0.399491,0.285714,0.735294,0.559074
39,0.25,0.342105,0.352941,0.130435,0.399491,0.285714,0.735294,0.559074
52,0.125,0.526316,0.352941,0.26087,0.399491,0.285714,0.735294,0.559074
32,0.284091,0.236842,0.176471,0.173913,0.399491,0.285714,0.735294,0.559074
42,0.193182,0.407895,0.294118,0.304348,0.399491,0.285714,0.735294,0.559074
42,0.306818,0.236842,0.235294,0.434783,0.399491,0.285714,0.735294,0.559074
37,0.272727,0.276316,0.235294,0.478261,0.399491,0.285714,0.735294,0.559074
51,0.102273,0.671053,0.352941,0.130435,0.399491,0.285714,0.735294,0.559074
51,0.181818,0.394737,0.411765,0.304348,0.399491,0.285714,0.735294,0.559074
43,0.25,0.25,0.529412,0.26087,0.399491,0.285714,0.735294,0.559074
43,0.272727,0.447368,0.352941,0.347826,0.399491,0.285714,0.735294,0.559074
41,0.227273,0.315789,0.235294,0.521739,0.483461,0.184524,0.735294,0.624848
55,0.113636,0.486842,0.411765,0.304348,0.483461,0.184524,0.735294,0.624848
41,0.25,0.486842,0.352941,0.391304,0.483461,0.184524,0.735294,0.624848
51,0.147727,0.447368,0.411765,0.347826,0.483461,0.184524,0.735294,0.624848
46,0.079545,0.539474,0.529412,0.304348,0.483461,0.184524,0.735294,0.624848
50,0.113636,0.644737,0.411765,0.130435,0.483461,0.184524,0.735294,0.624848
39,0.193182,0.381579,0.294118,0.478261,0.483461,0.184524,0.735294,0.624848
34,0.204545,0.289474,0.235294,0.173913,0.483461,0.184524,0.735294,0.624848
42,0.159091,0.447368,0.294118,0.304348,0.483461,0.184524,0.735294,0.624848
