@relation pm10_data

@attribute PM-10 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
64,0.089888,0.578125,0.466667,0.333333,0.274827,0.222222,0.709677,0.653652
57,0.078652,0.3125,0.266667,0,0.274827,0.222222,0.709677,0.653652
65,0.101124,0.421875,0.533333,0.416667,0.274827,0.222222,0.709677,0.653652
70,0.11236,0.421875,0.333333,0.333333,0.274827,0.222222,0.709677,0.653652
76,0.134831,0.5,0.533333,0.416667,0.274827,0.222222,0.709677,0.653652
53,0.101124,0.578125,0.533333,0.5,0.274827,0.222222,0.709677,0.653652
77,0.101124,0.265625,0.466667,0.25,0.274827,0.222222,0.709677,0.653652
60,0.101124,0.5,0.4,0.166667,0.274827,0.222222,0.709677,0.653652
52,0.134831,0.328125,0.333333,0,0.274827,0.222222,0.709677,0.653652
64,0.123596,0.4375,0.466667,0.25,0.274827,0.222222,0.709677,0.653652
64,0.044944,0.65625,0.533333,0.416667,0.30485,0.12037,0.645161,0.707809
51,0.101124,0.34375,0.4,0.083333,0.30485,0.12037,0.645161,0.707809
61,0.033708,0.625,0.6,0.333333,0.30485,0.12037,0.645161,0.707809
76,0.078652,0.59375,0.666667,0.5,0.30485,0.12037,0.645161,0.707809
70,0.033708,0.515625,0.733333,0.583333,0.30485,0.12037,0.645161,0.707809
75,0.044944,0.53125,0.333333,0.416667,0.30485,0.12037,0.645161,0.707809
61,0.033708,0.765625,0.8,0.583333,0.30485,0.12037,0.645161,0.707809
75,0.05618,0.328125,0.533333,0.25,0.30485,0.12037,0.645161,0.707809
63,0.05618,0.484375,0.466667,0.333333,0.30485,0.12037,0.645161,0.707809
60,0.022472,0.375,0.333333,0,0.30485,0.12037,0.645161,0.707809
78,0.033708,0.734375,0.666667,0.583333,0.34873,0.092593,0.709677,0.735516
69,0.067416,0.46875,0.6,0.333333,0.34873,0.092593,0.709677,0.735516
63,0.044944,0.625,0.666667,0.25,0.34873,0.092593,0.709677,0.735516
66,0.033708,0.421875,0.4,0.083333,0.34873,0.092593,0.709677,0.735516
76,0.033708,0.625,0.466667,0.416667,0.34873,0.092593,0.709677,0.735516
62,0.044944,0.75,0.866667,0.583333,0.34873,0.092593,0.709677,0.735516
46,0.11236,0.3125,0.4,0,0.34873,0.092593,0.709677,0.735516
73,0.044944,0.546875,0.866667,0.583333,0.34873,0.092593,0.709677,0.735516
83,0.05618,0.359375,0.6,0.25,0.34873,0.092593,0.709677,0.735516
80,0.101124,0.53125,0.733333,0.5,0.34873,0.092593,0.709677,0.735516
82,0.157303,0.53125,0.6,0.5,0.369515,0.37037,0.709677,0.497481
74,0.157303,0.40625,0.466667,0.333333,0.369515,0.37037,0.709677,0.497481
70,0.146067,0.40625,0.466667,0.416667,0.369515,0.37037,0.709677,0.497481
88,0.123596,0.625,0.533333,0.416667,0.369515,0.37037,0.709677,0.497481
64,0.146067,0.484375,0.333333,0.166667,0.369515,0.37037,0.709677,0.497481
87,0.157303,0.28125,0.533333,0.333333,0.369515,0.37037,0.709677,0.497481
50,0.202247,0.296875,0.4,0.083333,0.369515,0.37037,0.709677,0.497481
72,0.078652,0.34375,0.333333,0.083333,0.369515,0.37037,0.709677,0.497481
59,0.146067,0.5625,0.533333,0.5,0.369515,0.37037,0.709677,0.497481
83,0.123596,0.515625,0.333333,0.416667,0.369515,0.37037,0.709677,0.497481
24,0.146067,0.3125,0.266667,0.25,0.30254,0.25,0.774194,0.13602
39,0.089888,0.484375,0.2,0.583333,0.30254,0.25,0.774194,0.13602
27,0.11236,0.453125,0.2,0.25,0.30254,0.25,0.774194,0.13602
31,0.101124,0.484375,0.266667,0.25,0.30254,0.25,0.774194,0.13602
34,0.101124,0.546875,0.333333,0.416667,0.30254,0.25,0.774194,0.13602
27,0.089888,0.28125,0.133333,0.083333,0.30254,0.25,0.774194,0.13602
22,0.11236,0.484375,0.2,0.416667,0.30254,0.25,0.774194,0.13602
36,0.157303,0.171875,0.2,0.25,0.30254,0.25,0.774194,0.13602
23,0.157303,0.34375,0.266667,0.166667,0.30254,0.25,0.774194,0.13602
25,0.101124,0.40625,0.133333,0.416667,0.30254,0.25,0.774194,0.13602
55,0.191011,0.4375,0.266667,0.416667,0.286374,0.453704,0.774194,0.36398
54,0.157303,0.40625,0.133333,0.5,0.286374,0.453704,0.774194,0.36398
52,0.134831,0.484375,0.266667,0.416667,0.286374,0.453704,0.774194,0.36398
41,0.123596,0.28125,0.2,0.166667,0.286374,0.453704,0.774194,0.36398
39,0.191011,0.25,0.266667,0.25,0.286374,0.453704,0.774194,0.36398
37,0.179775,0.40625,0.2,0.333333,0.286374,0.453704,0.774194,0.36398
36,0.157303,0.40625,0.2,0.25,0.286374,0.453704,0.774194,0.36398
43,0.146067,0.375,0.2,0.5,0.286374,0.453704,0.774194,0.36398
60,0.191011,0.171875,0.266667,0.25,0.286374,0.453704,0.774194,0.36398
33,0.269663,0.203125,0.266667,0.166667,0.286374,0.453704,0.774194,0.36398
50,0.213483,0.328125,0.266667,0.333333,0.274827,0.481481,0.709677,0.400504
37,0.191011,0.328125,0.2,0.25,0.274827,0.481481,0.709677,0.400504
42,0.179775,0.28125,0.2,0.333333,0.274827,0.481481,0.709677,0.400504
39,0.235955,0.25,0.2,0.166667,0.274827,0.481481,0.709677,0.400504
34,0.247191,0.1875,0.2,0.083333,0.274827,0.481481,0.709677,0.400504
55,0.224719,0.09375,0.2,0.25,0.274827,0.481481,0.709677,0.400504
55,0.168539,0.328125,0.133333,0.416667,0.274827,0.481481,0.709677,0.400504
38,0.168539,0.328125,0.2,0.25,0.274827,0.481481,0.709677,0.400504
47,0.157303,0.359375,0.266667,0.333333,0.274827,0.481481,0.709677,0.400504
44,0.146067,0.21875,0.2,0.083333,0.274827,0.481481,0.709677,0.400504
31,0.168539,0.203125,0.133333,0.166667,0.254042,0.518519,0.709677,0.387909
25,0.213483,0.3125,0.2,0.25,0.254042,0.518519,0.709677,0.387909
32,0.202247,0.296875,0.2,0.25,0.254042,0.518519,0.709677,0.387909
29,0.213483,0.234375,0.133333,0.333333,0.254042,0.518519,0.709677,0.387909
39,0.202247,0.265625,0.133333,0.333333,0.254042,0.518519,0.709677,0.387909
27,0.247191,0.265625,0.2,0.166667,0.254042,0.518519,0.709677,0.387909
25,0.213483,0.265625,0.2,0.25,0.254042,0.518519,0.709677,0.387909
21,0.269663,0.125,0.133333,0.083333,0.254042,0.518519,0.709677,0.387909
34,0.213483,0.328125,0.2,0.333333,0.254042,0.518519,0.709677,0.387909
42,0.235955,0.109375,0.133333,0.25,0.254042,0.518519,0.709677,0.387909
41,0.157303,0.359375,0.133333,0.333333,0.265589,0.287037,0.709677,0.450882
30,0.146067,0.484375,0.266667,0.333333,0.265589,0.287037,0.709677,0.450882
32,0.168539,0.4375,0.266667,0.25,0.265589,0.287037,0.709677,0.450882
37,0.146067,0.390625,0.266667,0.5,0.265589,0.287037,0.709677,0.450882
36,0.168539,0.25,0.2,0.166667,0.265589,0.287037,0.709677,0.450882
31,0.202247,0.25,0.2,0.083333,0.265589,0.287037,0.709677,0.450882
44,0.146067,0.53125,0.266667,0.416667,0.265589,0.287037,0.709677,0.450882
34,0.157303,0.40625,0.266667,0.25,0.265589,0.287037,0.709677,0.450882
46,0.168539,0.265625,0.266667,0.166667,0.265589,0.287037,0.709677,0.450882
38,0.146067,0.453125,0.266667,0.333333,0.265589,0.287037,0.709677,0.450882
53,0.247191,0.203125,0.2,0.083333,0.284065,0.333333,0.774194,0.503778
61,0.168539,0.28125,0.333333,0.25,0.284065,0.333333,0.774194,0.503778
43,0.179775,0.46875,0.4,0.416667,0.284065,0.333333,0.774194,0.503778
52,0.179775,0.359375,0.2,0.333333,0.284065,0.333333,0.774194,0.503778
45,0.202247,0.390625,0.333333,0.25,0.284065,0.333333,0.774194,0.503778
47,0.157303,0.4375,0.4,0.333333,0.284065,0.333333,0.774194,0.503778
44,0.179775,0.234375,0.2,0.083333,0.284065,0.333333,0.774194,0.503778
51,0.168539,0.375,0.333333,0.5,0.284065,0.333333,0.774194,0.503778
53,0.168539,0.484375,0.333333,0.416667,0.284065,0.333333,0.774194,0.503778
39,0.179775,0.359375,0.266667,0.25,0.284065,0.333333,0.774194,0.503778
44,0.191011,0.5,0.2,0.416667,0.270208,0.296296,0.774194,0.192695
37,0.157303,0.265625,0.2,0.166667,0.270208,0.296296,0.774194,0.192695
31,0.224719,0.40625,0.2,0.25,0.270208,0.296296,0.774194,0.192695
24,0.292135,0.203125,0.2,0.166667,0.270208,0.296296,0.774194,0.192695
36,0.168539,0.375,0.2,0.5,0.270208,0.296296,0.774194,0.192695
32,0.202247,0.390625,0.266667,0.333333,0.270208,0.296296,0.774194,0.192695
52,0.191011,0.296875,0.266667,0.25,0.270208,0.296296,0.774194,0.192695
33,0.258427,0.34375,0.2,0.166667,0.270208,0.296296,0.774194,0.192695
48,0.134831,0.5,0.333333,0.416667,0.270208,0.296296,0.774194,0.192695
46,0.202247,0.359375,0.2,0.416667,0.270208,0.296296,0.774194,0.192695
31,0.134831,0.46875,0.266667,0.25,0.224018,0.37037,0.709677,0.245592
28,0.179775,0.375,0.2,0.166667,0.224018,0.37037,0.709677,0.245592
36,0.11236,0.296875,0.2,0.166667,0.224018,0.37037,0.709677,0.245592
51,0.157303,0.296875,0.2,0.25,0.224018,0.37037,0.709677,0.245592
34,0.168539,0.4375,0.266667,0.166667,0.224018,0.37037,0.709677,0.245592
45,0.123596,0.484375,0.2,0.416667,0.224018,0.37037,0.709677,0.245592
55,0.134831,0.53125,0.266667,0.416667,0.224018,0.37037,0.709677,0.245592
35,0.123596,0.4375,0.2,0.583333,0.224018,0.37037,0.709677,0.245592
47,0.11236,0.53125,0.266667,0.416667,0.224018,0.37037,0.709677,0.245592
29,0.123596,0.515625,0.2,0.333333,0.224018,0.37037,0.709677,0.245592
39,0.202247,0.328125,0.133333,0.333333,0.235566,0.425926,0.774194,0.484887
24,0.247191,0.203125,0.2,0,0.235566,0.425926,0.774194,0.484887
24,0.202247,0.359375,0.133333,0.25,0.235566,0.425926,0.774194,0.484887
30,0.191011,0.203125,0.2,0.083333,0.235566,0.425926,0.774194,0.484887
26,0.235955,0.296875,0.2,0.166667,0.235566,0.425926,0.774194,0.484887
40,0.258427,0.140625,0.133333,0.166667,0.235566,0.425926,0.774194,0.484887
36,0.202247,0.40625,0.133333,0.25,0.235566,0.425926,0.774194,0.484887
30,0.179775,0.28125,0.133333,0.5,0.235566,0.425926,0.774194,0.484887
29,0.213483,0.3125,0.2,0.166667,0.235566,0.425926,0.774194,0.484887
