@relation pm25_data

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
38,0.078652,0.3125,0.266667,0,0.274827,0.222222,0.709677,0.653652
51,0.11236,0.421875,0.333333,0.333333,0.274827,0.222222,0.709677,0.653652
54,0.134831,0.5,0.533333,0.416667,0.274827,0.222222,0.709677,0.653652
39,0.101124,0.578125,0.533333,0.5,0.274827,0.222222,0.709677,0.653652
44,0.101124,0.265625,0.466667,0.25,0.274827,0.222222,0.709677,0.653652
30,0.134831,0.328125,0.333333,0,0.274827,0.222222,0.709677,0.653652
31,0.101124,0.34375,0.4,0.083333,0.30485,0.12037,0.645161,0.707809
53,0.078652,0.59375,0.666667,0.5,0.30485,0.12037,0.645161,0.707809
53,0.044944,0.53125,0.333333,0.416667,0.30485,0.12037,0.645161,0.707809
43,0.033708,0.765625,0.8,0.583333,0.30485,0.12037,0.645161,0.707809
40,0.05618,0.328125,0.533333,0.25,0.30485,0.12037,0.645161,0.707809
38,0.022472,0.375,0.333333,0,0.30485,0.12037,0.645161,0.707809
39,0.033708,0.421875,0.4,0.083333,0.34873,0.092593,0.709677,0.735516
52,0.033708,0.625,0.466667,0.416667,0.34873,0.092593,0.709677,0.735516
45,0.044944,0.75,0.866667,0.583333,0.34873,0.092593,0.709677,0.735516
26,0.11236,0.3125,0.4,0,0.34873,0.092593,0.709677,0.735516
47,0.05618,0.359375,0.6,0.25,0.34873,0.092593,0.709677,0.735516
58,0.101124,0.53125,0.733333,0.5,0.34873,0.092593,0.709677,0.735516
57,0.157303,0.53125,0.6,0.5,0.369515,0.37037,0.709677,0.497481
50,0.157303,0.28125,0.533333,0.333333,0.369515,0.37037,0.709677,0.497481
28,0.202247,0.296875,0.4,0.083333,0.369515,0.37037,0.709677,0.497481
43,0.078652,0.34375,0.333333,0.083333,0.369515,0.37037,0.709677,0.497481
40,0.146067,0.5625,0.533333,0.5,0.369515,0.37037,0.709677,0.497481
59,0.123596,0.515625,0.333333,0.416667,0.369515,0.37037,0.709677,0.497481
22,0.089888,0.484375,0.2,0.583333,0.30254,0.25,0.774194,0.13602
19,0.101124,0.546875,0.333333,0.416667,0.30254,0.25,0.774194,0.13602
19,0.089888,0.28125,0.133333,0.083333,0.30254,0.25,0.774194,0.13602
15,0.11236,0.484375,0.2,0.416667,0.30254,0.25,0.774194,0.13602
11,0.157303,0.171875,0.2,0.25,0.30254,0.25,0.774194,0.13602
12,0.157303,0.34375,0.266667,0.166667,0.30254,0.25,0.774194,0.13602
30,0.191011,0.4375,0.266667,0.416667,0.286374,0.453704,0.774194,0.36398
32,0.157303,0.40625,0.133333,0.5,0.286374,0.453704,0.774194,0.36398
27,0.123596,0.28125,0.2,0.166667,0.286374,0.453704,0.774194,0.36398
21,0.179775,0.40625,0.2,0.333333,0.286374,0.453704,0.774194,0.36398
23,0.191011,0.171875,0.266667,0.25,0.286374,0.453704,0.774194,0.36398
19,0.269663,0.203125,0.266667,0.166667,0.286374,0.453704,0.774194,0.36398
30,0.213483,0.328125,0.266667,0.333333,0.274827,0.481481,0.709677,0.400504
22,0.191011,0.328125,0.2,0.25,0.274827,0.481481,0.709677,0.400504
19,0.247191,0.1875,0.2,0.083333,0.274827,0.481481,0.709677,0.400504
23,0.224719,0.09375,0.2,0.25,0.274827,0.481481,0.709677,0.400504
35,0.168539,0.328125,0.133333,0.416667,0.274827,0.481481,0.709677,0.400504
28,0.146067,0.21875,0.2,0.083333,0.274827,0.481481,0.709677,0.400504
21,0.168539,0.203125,0.133333,0.166667,0.254042,0.518519,0.709677,0.387909
14,0.213483,0.3125,0.2,0.25,0.254042,0.518519,0.709677,0.387909
22,0.202247,0.265625,0.133333,0.333333,0.254042,0.518519,0.709677,0.387909
13,0.269663,0.125,0.133333,0.083333,0.254042,0.518519,0.709677,0.387909
19,0.213483,0.328125,0.2,0.333333,0.254042,0.518519,0.709677,0.387909
14,0.235955,0.109375,0.133333,0.25,0.254042,0.518519,0.709677,0.387909
23,0.157303,0.359375,0.133333,0.333333,0.265589,0.287037,0.709677,0.450882
17,0.146067,0.484375,0.266667,0.333333,0.265589,0.287037,0.709677,0.450882
27,0.168539,0.25,0.2,0.166667,0.265589,0.287037,0.709677,0.450882
18,0.202247,0.25,0.2,0.083333,0.265589,0.287037,0.709677,0.450882
25,0.146067,0.53125,0.266667,0.416667,0.265589,0.287037,0.709677,0.450882
18,0.168539,0.265625,0.266667,0.166667,0.265589,0.287037,0.709677,0.450882
24,0.247191,0.203125,0.2,0.083333,0.284065,0.333333,0.774194,0.503778
29,0.168539,0.28125,0.333333,0.25,0.284065,0.333333,0.774194,0.503778
26,0.179775,0.46875,0.4,0.416667,0.284065,0.333333,0.774194,0.503778
34,0.179775,0.359375,0.2,0.333333,0.284065,0.333333,0.774194,0.503778
29,0.179775,0.234375,0.2,0.083333,0.284065,0.333333,0.774194,0.503778
36,0.168539,0.484375,0.333333,0.416667,0.284065,0.333333,0.774194,0.503778
26,0.191011,0.5,0.2,0.416667,0.270208,0.296296,0.774194,0.192695
25,0.157303,0.265625,0.2,0.166667,0.270208,0.296296,0.774194,0.192695
19,0.224719,0.40625,0.2,0.25,0.270208,0.296296,0.774194,0.192695
14,0.292135,0.203125,0.2,0.166667,0.270208,0.296296,0.774194,0.192695
22,0.191011,0.296875,0.266667,0.25,0.270208,0.296296,0.774194,0.192695
29,0.202247,0.359375,0.2,0.416667,0.270208,0.296296,0.774194,0.192695
14,0.179775,0.375,0.2,0.166667,0.224018,0.37037,0.709677,0.245592
24,0.11236,0.296875,0.2,0.166667,0.224018,0.37037,0.709677,0.245592
20,0.157303,0.296875,0.2,0.25,0.224018,0.37037,0.709677,0.245592
26,0.123596,0.484375,0.2,0.416667,0.224018,0.37037,0.709677,0.245592
30,0.134831,0.53125,0.266667,0.416667,0.224018,0.37037,0.709677,0.245592
18,0.123596,0.515625,0.2,0.333333,0.224018,0.37037,0.709677,0.245592
22,0.202247,0.328125,0.133333,0.333333,0.235566,0.425926,0.774194,0.484887
14,0.247191,0.203125,0.2,0,0.235566,0.425926,0.774194,0.484887
15,0.202247,0.359375,0.133333,0.25,0.235566,0.425926,0.774194,0.484887
22,0.191011,0.203125,0.2,0.083333,0.235566,0.425926,0.774194,0.484887
14,0.258427,0.140625,0.133333,0.166667,0.235566,0.425926,0.774194,0.484887
21,0.202247,0.40625,0.133333,0.25,0.235566,0.425926,0.774194,0.484887
16,0.235955,0.203125,0.2,0.25,0.240185,0.398148,0.709677,0.472292
22,0.202247,0.40625,0.2,0.333333,0.240185,0.398148,0.709677,0.472292
15,0.224719,0.234375,0.2,0,0.240185,0.398148,0.709677,0.472292
23,0.202247,0.203125,0.2,0.166667,0.240185,0.398148,0.709677,0.472292
21,0.202247,0.328125,0.2,0.333333,0.240185,0.398148,0.709677,0.472292
15,0.224719,0.359375,0.2,0.25,0.240185,0.398148,0.709677,0.472292
33,0.067416,0.765625,0.533333,0.5,0.228637,0.12963,0.193548,0.600756
40,0.078652,0.421875,0.466667,0.333333,0.228637,0.12963,0.193548,0.600756
49,0.089888,0.578125,0.4,0.416667,0.228637,0.12963,0.193548,0.600756
40,0.078652,0.515625,0.533333,0.416667,0.228637,0.12963,0.193548,0.600756
28,0.11236,0.484375,0.333333,0.166667,0.228637,0.12963,0.193548,0.600756
41,0.067416,0.640625,0.333333,0.583333,0.228637,0.12963,0.193548,0.600756
41,0.11236,0.578125,0.466667,0.166667,0.249423,0.083333,0.193548,0.633501
54,0.044944,0.84375,0.666667,0.583333,0.249423,0.083333,0.193548,0.633501
58,0.033708,0.515625,0.6,0.333333,0.249423,0.083333,0.193548,0.633501
77,0.078652,0.625,0.533333,0.5,0.249423,0.083333,0.193548,0.633501
77,0.033708,0.859375,0.466667,0.666667,0.249423,0.083333,0.193548,0.633501
57,0.067416,0.53125,0.533333,0.416667,0.249423,0.083333,0.193548,0.633501
32,0.101124,0.46875,0.466667,0.166667,0.267898,0.148148,0.709677,0.792191
71,0.044944,0.59375,0.533333,0.333333,0.267898,0.148148,0.709677,0.792191
50,0.022472,0.6875,0.533333,0.416667,0.267898,0.148148,0.709677,0.792191
74,0.022472,0.75,0.466667,0.583333,0.267898,0.148148,0.709677,0.792191
56,0.044944,0.453125,0.466667,0.25,0.267898,0.148148,0.709677,0.792191
27,0.247191,0.140625,0.2,0.166667,0.230947,0.611111,0.774194,0.547859
23,0.247191,0.265625,0.2,0.25,0.230947,0.611111,0.774194,0.547859
26,0.303371,0.109375,0.133333,0.166667,0.230947,0.611111,0.774194,0.547859
28,0.247191,0.296875,0.2,0.25,0.230947,0.611111,0.774194,0.547859
33,0.258427,0.265625,0.133333,0.333333,0.230947,0.611111,0.774194,0.547859
16,0.314607,0.125,0.2,0.083333,0.230947,0.611111,0.774194,0.547859
7,0.337079,0.046875,0.066667,0.166667,0.090069,0.87963,0.709677,0.355164
10,0.325843,0.15625,0.133333,0.166667,0.090069,0.87963,0.709677,0.355164
7,0.337079,0,0.066667,0.083333,0.090069,0.87963,0.709677,0.355164
8,0.280899,0.203125,0.133333,0.166667,0.090069,0.87963,0.709677,0.355164
13,0.292135,0.0625,0.066667,0.166667,0.090069,0.87963,0.709677,0.355164
12,0.303371,0.140625,0.066667,0.166667,0.090069,0.87963,0.709677,0.355164
15,0.235955,0.171875,0.2,0.25,0.110855,0.342593,0.709677,0.389169
26,0.191011,0.28125,0.133333,0.416667,0.110855,0.342593,0.709677,0.389169
22,0.191011,0.15625,0.133333,0.25,0.110855,0.342593,0.709677,0.389169
15,0.191011,0.34375,0.2,0.25,0.110855,0.342593,0.709677,0.389169
16,0.235955,0.171875,0.133333,0.25,0.110855,0.342593,0.709677,0.389169
22,0.213483,0.34375,0.266667,0.333333,0.110855,0.342593,0.709677,0.389169
34,0.101124,0.546875,0.333333,0.333333,0.157044,0.296296,0.774194,0.255668
32,0.11236,0.4375,0.2,0.583333,0.157044,0.296296,0.774194,0.255668
23,0.146067,0.359375,0.2,0.25,0.157044,0.296296,0.774194,0.255668
21,0.11236,0.546875,0.266667,0.333333,0.157044,0.296296,0.774194,0.255668
17,0.191011,0.265625,0.2,0.25,0.157044,0.296296,0.774194,0.255668
27,0.101124,0.28125,0.2,0.166667,0.157044,0.296296,0.774194,0.255668
24,0.191011,0.359375,0.133333,0.333333,0.187067,0.361111,0.774194,0.168766
16,0.179775,0.46875,0.2,0.333333,0.187067,0.361111,0.774194,0.168766
26,0.202247,0.46875,0.266667,0.333333,0.187067,0.361111,0.774194,0.168766
12,0.269663,0.1875,0.133333,0.166667,0.187067,0.361111,0.774194,0.168766
20,0.224719,0.28125,0.2,0.25,0.187067,0.361111,0.774194,0.168766
22,0.168539,0.234375,0.133333,0.25,0.187067,0.361111,0.774194,0.168766
15,0.303371,0.125,0.133333,0.25,0.101617,0.574074,0.774194,0.239295
21,0.258427,0.21875,0.133333,0.25,0.101617,0.574074,0.774194,0.239295
22,0.247191,0.140625,0.133333,0.25,0.101617,0.574074,0.774194,0.239295
14,0.258427,0.265625,0.2,0.25,0.101617,0.574074,0.774194,0.239295
19,0.280899,0.265625,0.2,0.25,0.101617,0.574074,0.774194,0.239295
14,0.303371,0.203125,0.133333,0.083333,0.101617,0.574074,0.774194,0.239295
14,0.280899,0.171875,0.266667,0.166667,0,0.583333,0.709677,0.382872
15,0.314607,0.078125,0.133333,0.25,0,0.583333,0.709677,0.382872
20,0.325843,0.171875,0.2,0.25,0,0.583333,0.709677,0.382872
17,0.292135,0.078125,0.133333,0.166667,0,0.583333,0.709677,0.382872
21,0.292135,0.15625,0.133333,0.166667,0,0.583333,0.709677,0.382872
18,0.213483,0.1875,0.133333,0.166667,0.120092,0.537037,0.774194,0.457179
14,0.280899,0.125,0.133333,0.083333,0.120092,0.537037,0.774194,0.457179
14,0.235955,0.328125,0.266667,0.25,0.120092,0.537037,0.774194,0.457179
20,0.224719,0.265625,0.133333,0.25,0.120092,0.537037,0.774194,0.457179
14,0.269663,0.171875,0.133333,0.166667,0.120092,0.537037,0.774194,0.457179
20,0.247191,0.34375,0.266667,0.25,0.120092,0.537037,0.774194,0.457179
35,0.168539,0.5625,0.4,0.5,0.2194,0.398148,0.774194,0.515113
25,0.179775,0.546875,0.333333,0.416667,0.2194,0.398148,0.774194,0.515113
29,0.191011,0.359375,0.333333,0.25,0.2194,0.398148,0.774194,0.515113
32,0.213483,0.328125,0.2,0.25,0.2194,0.398148,0.774194,0.515113
27,0.179775,0.3125,0.266667,0.166667,0.2194,0.398148,0.774194,0.515113
33,0.179775,0.265625,0.266667,0.333333,0.2194,0.398148,0.774194,0.515113
40,0.11236,0.859375,0.733333,0.75,0.256351,0.231481,0.709677,0.476071
