@relation pm10_data

@attribute PM-10 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
56,0.086957,0.101266,0.4,0.041667,0.310195,0.360465,0.470588,0.707801
48,0.069565,0.265823,0.466667,0.333333,0.310195,0.360465,0.470588,0.707801
64,0.06087,0.265823,0.2,0.083333,0.310195,0.360465,0.470588,0.707801
57,0.086957,0.303797,0.4,0.166667,0.310195,0.360465,0.470588,0.707801
65,0.069565,0.291139,0.4,0.083333,0.310195,0.360465,0.470588,0.707801
58,0.086957,0.291139,0.6,0.125,0.310195,0.360465,0.470588,0.707801
46,0.086957,0.202532,0.4,0.041667,0.310195,0.360465,0.470588,0.707801
48,0.182609,0.240506,0.266667,0.166667,0.418655,0.27907,0.676471,0.695035
53,0.113043,0.240506,0.133333,0.083333,0.418655,0.27907,0.676471,0.695035
56,0.121739,0.291139,0.333333,0.083333,0.418655,0.27907,0.676471,0.695035
49,0.130435,0.253165,0.4,0.041667,0.418655,0.27907,0.676471,0.695035
58,0.113043,0.35443,0.466667,0.125,0.418655,0.27907,0.676471,0.695035
39,0.147826,0.265823,0.533333,0.458333,0.418655,0.27907,0.676471,0.695035
44,0.147826,0.126582,0.266667,0.041667,0.418655,0.27907,0.676471,0.695035
67,0.06087,0.240506,0.2,0.083333,0.425163,0.197674,0.470588,0.794326
56,0.130435,0.113924,0.4,0.041667,0.425163,0.197674,0.470588,0.794326
67,0.113043,0.278481,0.533333,0.166667,0.425163,0.197674,0.470588,0.794326
55,0.130435,0.265823,0.666667,0.5,0.425163,0.197674,0.470588,0.794326
59,0.121739,0.227848,0.533333,0.083333,0.425163,0.197674,0.470588,0.794326
72,0.104348,0.291139,0.533333,0.083333,0.425163,0.197674,0.470588,0.794326
63,0.156522,0.253165,0.4,0.166667,0.425163,0.197674,0.470588,0.794326
67,0.208696,0.202532,0.4,0.125,0.386117,0.290698,0.941176,0.496454
88,0.173913,0.227848,0.333333,0.125,0.386117,0.290698,0.941176,0.496454
86,0.130435,0.35443,0.466667,0.291667,0.386117,0.290698,0.941176,0.496454
74,0.182609,0.240506,0.333333,0.333333,0.386117,0.290698,0.941176,0.496454
91,0.147826,0.227848,0.2,0.125,0.386117,0.290698,0.941176,0.496454
97,0.217391,0.316456,0.333333,0.208333,0.386117,0.290698,0.941176,0.496454
80,0.226087,0.113924,0.266667,0.125,0.386117,0.290698,0.941176,0.496454
32,0.086957,0.341772,0.133333,0.166667,0.262473,0.174419,0.941176,0.253901
37,0.095652,0.240506,0.2,0.083333,0.262473,0.174419,0.941176,0.253901
26,0.069565,0.253165,0.266667,0.333333,0.262473,0.174419,0.941176,0.253901
37,0.086957,0.227848,0.133333,0.083333,0.262473,0.174419,0.941176,0.253901
37,0.069565,0.303797,0.2,0.458333,0.262473,0.174419,0.941176,0.253901
25,0.086957,0.202532,0.2,0.083333,0.262473,0.174419,0.941176,0.253901
28,0.113043,0.139241,0.133333,0.083333,0.262473,0.174419,0.941176,0.253901
63,0.043478,0.265823,0.2,0.166667,0.273319,0.139535,0.941176,0.502128
54,0.043478,0.392405,0.333333,0.291667,0.273319,0.139535,0.941176,0.502128
64,0.052174,0.316456,0.333333,0.083333,0.273319,0.139535,0.941176,0.502128
54,0.052174,0.227848,0.333333,0.125,0.273319,0.139535,0.941176,0.502128
53,0.043478,0.291139,0.333333,0.166667,0.273319,0.139535,0.941176,0.502128
74,0.034783,0.405063,0.466667,0.375,0.273319,0.139535,0.941176,0.502128
45,0.034783,0.316456,0.4,0.416667,0.273319,0.139535,0.941176,0.502128
46,0.165217,0.126582,0.2,0.083333,0.277657,0.302326,0.882353,0.452482
40,0.165217,0.063291,0.2,0.125,0.277657,0.302326,0.882353,0.452482
42,0.156522,0.21519,0.2,0.166667,0.277657,0.302326,0.882353,0.452482
34,0.13913,0.151899,0.2,0.125,0.277657,0.302326,0.882353,0.452482
51,0.104348,0.240506,0.266667,0.25,0.277657,0.302326,0.882353,0.452482
56,0.121739,0.151899,0.133333,0.083333,0.277657,0.302326,0.882353,0.452482
37,0.113043,0.202532,0.266667,0.291667,0.277657,0.302326,0.882353,0.452482
39,0.113043,0.21519,0.2,0.083333,0.253796,0.302326,0.941176,0.489362
27,0.086957,0.240506,0.266667,0.333333,0.253796,0.302326,0.941176,0.489362
31,0.104348,0.113924,0.2,0.125,0.253796,0.302326,0.941176,0.489362
28,0.095652,0.202532,0.2,0.125,0.253796,0.302326,0.941176,0.489362
34,0.104348,0.303797,0.2,0.208333,0.253796,0.302326,0.941176,0.489362
43,0.078261,0.202532,0.2,0.083333,0.253796,0.302326,0.941176,0.489362
42,0.078261,0.303797,0.266667,0.208333,0.253796,0.302326,0.941176,0.489362
40,0.104348,0.240506,0.2,0.083333,0.305857,0.151163,0.882353,0.47234
29,0.104348,0.202532,0.266667,0.083333,0.305857,0.151163,0.882353,0.47234
43,0.130435,0.164557,0.2,0.041667,0.305857,0.151163,0.882353,0.47234
30,0.130435,0.101266,0.2,0.083333,0.305857,0.151163,0.882353,0.47234
28,0.104348,0.240506,0.266667,0.333333,0.305857,0.151163,0.882353,0.47234
30,0.156522,0.227848,0.2,0.166667,0.305857,0.151163,0.882353,0.47234
45,0.104348,0.278481,0.266667,0.291667,0.305857,0.151163,0.882353,0.47234
55,0.13913,0.227848,0.266667,0.083333,0.301518,0.27907,0.470588,0.514894
48,0.147826,0.088608,0.266667,0.125,0.301518,0.27907,0.470588,0.514894
41,0.13913,0.177215,0.266667,0.125,0.301518,0.27907,0.470588,0.514894
