@relation pm10_data

@attribute PM-10 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
65,0.247059,0.242424,0.277778,0.222222,0.306024,0.110092,0.617647,0.655126
51,0.141176,0.348485,0.444444,0.555556,0.306024,0.110092,0.617647,0.655126
68,0.2,0.212121,0.222222,0.333333,0.306024,0.110092,0.617647,0.655126
47,0.105882,0.5,0.555556,0.333333,0.306024,0.110092,0.617647,0.655126
39,0.152941,0.454545,0.444444,0.333333,0.306024,0.110092,0.617647,0.655126
67,0.105882,0.318182,0.5,0.222222,0.306024,0.110092,0.617647,0.655126
42,0.082353,0.590909,0.555556,0.333333,0.385542,0,0.205882,0.728362
39,0.094118,0.606061,0.444444,0.333333,0.385542,0,0.205882,0.728362
64,0.047059,0.424242,0.611111,0.222222,0.385542,0,0.205882,0.728362
63,0.247059,0.272727,0.277778,0.222222,0.385542,0,0.205882,0.728362
53,0.082353,0.515152,0.555556,0.555556,0.385542,0,0.205882,0.728362
72,0.105882,0.318182,0.222222,0.333333,0.385542,0,0.205882,0.728362
64,0.211765,0.272727,0.333333,0.222222,0.404819,0.06422,0.676471,0.732357
70,0.188235,0.212121,0.222222,0.444444,0.404819,0.06422,0.676471,0.732357
72,0.070588,0.363636,0.666667,0.222222,0.404819,0.06422,0.676471,0.732357
41,0.082353,0.636364,0.555556,0.333333,0.404819,0.06422,0.676471,0.732357
59,0.129412,0.454545,0.611111,0.666667,0.404819,0.06422,0.676471,0.732357
48,0.082353,0.545455,0.666667,0.333333,0.404819,0.06422,0.676471,0.732357
62,0.223529,0.348485,0.388889,0.555556,0.383133,0.183486,0.088235,0.567244
66,0.2,0.530303,0.611111,0.444444,0.383133,0.183486,0.088235,0.567244
89,0.235294,0.287879,0.222222,0.555556,0.383133,0.183486,0.088235,0.567244
86,0.164706,0.378788,0.555556,0.222222,0.383133,0.183486,0.088235,0.567244
56,0.188235,0.590909,0.555556,0.555556,0.383133,0.183486,0.088235,0.567244
85,0.294118,0.257576,0.333333,0.333333,0.383133,0.183486,0.088235,0.567244
20,0.223529,0.30303,0.166667,0.444444,0.286747,0.229358,0.147059,0.218375
23,0.188235,0.30303,0.277778,0.222222,0.286747,0.229358,0.147059,0.218375
17,0.188235,0.30303,0.277778,0.333333,0.286747,0.229358,0.147059,0.218375
37,0.164706,0.272727,0.111111,0.444444,0.286747,0.229358,0.147059,0.218375
17,0.164706,0.333333,0.222222,0.555556,0.286747,0.229358,0.147059,0.218375
31,0.235294,0.272727,0.222222,0.333333,0.286747,0.229358,0.147059,0.218375
34,0.270588,0.19697,0.277778,0.444444,0.308434,0.229358,0,0.40213
57,0.2,0.272727,0.166667,0.555556,0.308434,0.229358,0,0.40213
42,0.235294,0.393939,0.333333,0.333333,0.308434,0.229358,0,0.40213
32,0.247059,0.30303,0.277778,0.444444,0.308434,0.229358,0,0.40213
38,0.188235,0.333333,0.333333,0.555556,0.308434,0.229358,0,0.40213
45,0.317647,0.212121,0.222222,0.333333,0.308434,0.229358,0,0.40213
31,0.223529,0.212121,0.277778,0.333333,0.293976,0.229358,0,0.525965
52,0.258824,0.181818,0.111111,0.555556,0.293976,0.229358,0,0.525965
40,0.235294,0.333333,0.333333,0.222222,0.293976,0.229358,0,0.525965
29,0.235294,0.272727,0.222222,0.333333,0.293976,0.229358,0,0.525965
31,0.258824,0.212121,0.277778,0.555556,0.293976,0.229358,0,0.525965
40,0.364706,0.136364,0.166667,0.333333,0.293976,0.229358,0,0.525965
28,0.152941,0.424242,0.333333,0.222222,0.257831,0.06422,0.941176,0.76032
19,0.176471,0.333333,0.222222,0.333333,0.257831,0.06422,0.941176,0.76032
21,0.211765,0.272727,0.222222,0.444444,0.257831,0.06422,0.941176,0.76032
29,0.270588,0.227273,0.166667,0.222222,0.257831,0.06422,0.941176,0.76032
39,0.2,0.242424,0.111111,0.444444,0.257831,0.06422,0.941176,0.76032
22,0.164706,0.287879,0.277778,0.333333,0.257831,0.06422,0.941176,0.76032
22,0.164706,0.409091,0.277778,0.333333,0.289157,0.266055,0.735294,0.54727
27,0.188235,0.287879,0.277778,0.444444,0.289157,0.266055,0.735294,0.54727
