@relation pm25_data

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
24,0.149425,0.367816,0.4,0.291667,0.381466,0.232759,0.529412,0.79023
49,0.149425,0.252874,0.15,0.208333,0.381466,0.232759,0.529412,0.79023
37,0.114943,0.413793,0.45,0.333333,0.381466,0.232759,0.529412,0.79023
67,0.068966,0.62069,0.75,0.208333,0.381466,0.232759,0.529412,0.79023
63,0.126437,0.528736,0.45,0.375,0.381466,0.232759,0.529412,0.79023
57,0.057471,0.505747,0.7,0.166667,0.381466,0.232759,0.529412,0.79023
37,0.172414,0.402299,0.4,0.208333,0.381466,0.232759,0.529412,0.79023
44,0.126437,0.45977,0.5,0.208333,0.474138,0.163793,0.470588,0.922414
30,0.275862,0.149425,0.1,0.25,0.474138,0.163793,0.470588,0.922414
42,0.183908,0.356322,0.2,0.333333,0.474138,0.163793,0.470588,0.922414
41,0.114943,0.413793,0.6,0.208333,0.474138,0.163793,0.470588,0.922414
31,0.218391,0.252874,0.2,0.25,0.474138,0.163793,0.470588,0.922414
27,0.195402,0.356322,0.35,0.208333,0.474138,0.163793,0.470588,0.922414
28,0.172414,0.321839,0.25,0.291667,0.474138,0.163793,0.470588,0.922414
85,0.091954,0.563218,0.4,0.458333,0.44181,0,0.941176,0.992816
52,0.137931,0.425287,0.4,0.291667,0.44181,0,0.941176,0.992816
89,0.137931,0.609195,0.75,0.25,0.44181,0,0.941176,0.992816
43,0.252874,0.356322,0.45,0.166667,0.44181,0,0.941176,0.992816
58,0.172414,0.402299,0.4,0.291667,0.44181,0,0.941176,0.992816
77,0.183908,0.425287,0.7,0.166667,0.44181,0,0.941176,0.992816
48,0.287356,0.126437,0.15,0.208333,0.44181,0,0.941176,0.992816
67,0.344828,0.183908,0.45,0.166667,0.362069,0.37931,0.941176,0.632184
63,0.287356,0.252874,0.25,0.291667,0.362069,0.37931,0.941176,0.632184
68,0.241379,0.356322,0.55,0.25,0.362069,0.37931,0.941176,0.632184
42,0.37931,0.137931,0.35,0.208333,0.362069,0.37931,0.941176,0.632184
52,0.252874,0.287356,0.3,0.291667,0.362069,0.37931,0.941176,0.632184
45,0.344828,0.08046,0.1,0.208333,0.362069,0.37931,0.941176,0.632184
48,0.252874,0.241379,0.3,0.25,0.362069,0.37931,0.941176,0.632184
13,0.172414,0.275862,0.15,0.375,0.273707,0.293103,0,0.25
20,0.195402,0.287356,0.4,0.25,0.273707,0.293103,0,0.25
12,0.218391,0.229885,0.2,0.25,0.273707,0.293103,0,0.25
13,0.298851,0.126437,0.25,0.208333,0.273707,0.293103,0,0.25
13,0.229885,0.229885,0.15,0.25,0.273707,0.293103,0,0.25
18,0.264368,0.091954,0.05,0.25,0.273707,0.293103,0,0.25
22,0.252874,0.183908,0.15,0.166667,0.273707,0.293103,0,0.25
27,0.252874,0.091954,0.1,0.25,0.30819,0.301724,1,0.517241
39,0.068966,0.551724,0.5,0.291667,0.30819,0.301724,1,0.517241
31,0.103448,0.402299,0.25,0.333333,0.30819,0.301724,1,0.517241
27,0.195402,0.298851,0.35,0.25,0.30819,0.301724,1,0.517241
37,0.103448,0.436782,0.25,0.375,0.30819,0.301724,1,0.517241
27,0.114943,0.37931,0.3,0.291667,0.30819,0.301724,1,0.517241
38,0.137931,0.344828,0.3,0.208333,0.30819,0.301724,1,0.517241
19,0.287356,0.08046,0.1,0.25,0.269397,0.293103,0.941176,0.469828
19,0.206897,0.229885,0.25,0.25,0.269397,0.293103,0.941176,0.469828
15,0.218391,0.229885,0.2,0.25,0.269397,0.293103,0.941176,0.469828
26,0.264368,0.172414,0.2,0.166667,0.269397,0.293103,0.941176,0.469828
15,0.321839,0.091954,0.3,0.208333,0.269397,0.293103,0.941176,0.469828
18,0.218391,0.206897,0.15,0.25,0.269397,0.293103,0.941176,0.469828
27,0.183908,0.321839,0.25,0.333333,0.269397,0.293103,0.941176,0.469828
23,0.229885,0.218391,0.2,0.166667,0.273707,0.198276,0.941176,0.505747
16,0.172414,0.287356,0.2,0.375,0.273707,0.198276,0.941176,0.505747
14,0.172414,0.287356,0.25,0.25,0.273707,0.198276,0.941176,0.505747
19,0.172414,0.321839,0.25,0.333333,0.273707,0.198276,0.941176,0.505747
