@relation pm10_data

@attribute PM-10 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
44,0.08046,0.455556,0.5,0.185185,0.381466,0.232759,0.529412,0.79023
69,0.149425,0.355556,0.4,0.259259,0.381466,0.232759,0.529412,0.79023
56,0.137931,0.433333,0.65,0.333333,0.381466,0.232759,0.529412,0.79023
50,0.068966,0.522222,0.5,0.259259,0.381466,0.232759,0.529412,0.79023
60,0.08046,0.311111,0.35,0.296296,0.381466,0.232759,0.529412,0.79023
61,0.137931,0.233333,0.55,0.185185,0.381466,0.232759,0.529412,0.79023
72,0.149425,0.244444,0.15,0.185185,0.381466,0.232759,0.529412,0.79023
64,0.114943,0.4,0.45,0.296296,0.381466,0.232759,0.529412,0.79023
57,0.103448,0.322222,0.45,0.074074,0.381466,0.232759,0.529412,0.79023
91,0.068966,0.6,0.75,0.185185,0.381466,0.232759,0.529412,0.79023
75,0.126437,0.511111,0.45,0.333333,0.381466,0.232759,0.529412,0.79023
78,0.057471,0.488889,0.7,0.148148,0.381466,0.232759,0.529412,0.79023
50,0.172414,0.388889,0.4,0.185185,0.381466,0.232759,0.529412,0.79023
81,0.103448,0.388889,0.5,0.37037,0.381466,0.232759,0.529412,0.79023
64,0.126437,0.444444,0.5,0.185185,0.474138,0.163793,0.470588,0.922414
48,0.275862,0.144444,0.1,0.222222,0.474138,0.163793,0.470588,0.922414
56,0.183908,0.344444,0.2,0.296296,0.474138,0.163793,0.470588,0.922414
40,0.206897,0.166667,0.4,0.185185,0.474138,0.163793,0.470588,0.922414
59,0.114943,0.4,0.6,0.185185,0.474138,0.163793,0.470588,0.922414
61,0.218391,0.244444,0.2,0.222222,0.474138,0.163793,0.470588,0.922414
47,0.195402,0.344444,0.35,0.185185,0.474138,0.163793,0.470588,0.922414
54,0.172414,0.311111,0.25,0.259259,0.474138,0.163793,0.470588,0.922414
45,0.114943,0.211111,0.2,0.296296,0.474138,0.163793,0.470588,0.922414
42,0.195402,0.311111,0.35,0.296296,0.474138,0.163793,0.470588,0.922414
34,0.137931,0.366667,0.25,0.259259,0.474138,0.163793,0.470588,0.922414
45,0.137931,0.277778,0.3,0.074074,0.474138,0.163793,0.470588,0.922414
34,0.149425,0.344444,0.25,0.259259,0.474138,0.163793,0.470588,0.922414
62,0.149425,0.222222,0.25,0.296296,0.474138,0.163793,0.470588,0.922414
80,0.114943,0.377778,0.45,0.074074,0.44181,0,0.941176,0.992816
116,0.057471,0.466667,0.6,0.444444,0.44181,0,0.941176,0.992816
100,0.091954,0.544444,0.4,0.407407,0.44181,0,0.941176,0.992816
74,0.149425,0.266667,0.55,0.185185,0.44181,0,0.941176,0.992816
98,0.137931,0.411111,0.4,0.259259,0.44181,0,0.941176,0.992816
120,0.137931,0.588889,0.75,0.222222,0.44181,0,0.941176,0.992816
74,0.149425,0.488889,0.45,0.296296,0.44181,0,0.941176,0.992816
65,0.252874,0.344444,0.45,0.148148,0.44181,0,0.941176,0.992816
90,0.091954,0.322222,0.3,0.296296,0.44181,0,0.941176,0.992816
58,0.206897,0.344444,0.4,0.185185,0.44181,0,0.941176,0.992816
102,0.172414,0.388889,0.4,0.259259,0.44181,0,0.941176,0.992816
78,0.103448,0.488889,0.6,0.407407,0.44181,0,0.941176,0.992816
109,0.183908,0.411111,0.7,0.148148,0.44181,0,0.941176,0.992816
80,0.287356,0.122222,0.15,0.185185,0.44181,0,0.941176,0.992816
90,0.344828,0.177778,0.45,0.148148,0.362069,0.37931,0.941176,0.632184
78,0.287356,0.244444,0.25,0.259259,0.362069,0.37931,0.941176,0.632184
55,0.252874,0.222222,0.35,0.148148,0.362069,0.37931,0.941176,0.632184
92,0.172414,0.222222,0.3,0.37037,0.362069,0.37931,0.941176,0.632184
95,0.241379,0.344444,0.55,0.222222,0.362069,0.37931,0.941176,0.632184
56,0.287356,0.244444,0.35,0.296296,0.362069,0.37931,0.941176,0.632184
64,0.37931,0.133333,0.35,0.185185,0.362069,0.37931,0.941176,0.632184
89,0.252874,0.277778,0.3,0.259259,0.362069,0.37931,0.941176,0.632184
70,0.344828,0.077778,0.1,0.185185,0.362069,0.37931,0.941176,0.632184
65,0.195402,0.277778,0.35,0.111111,0.362069,0.37931,0.941176,0.632184
73,0.252874,0.077778,0.2,0.259259,0.362069,0.37931,0.941176,0.632184
82,0.252874,0.233333,0.3,0.222222,0.362069,0.37931,0.941176,0.632184
55,0.229885,0.166667,0.45,0.222222,0.362069,0.37931,0.941176,0.632184
62,0.241379,0.266667,0.3,0.259259,0.362069,0.37931,0.941176,0.632184
27,0.172414,0.088889,0.15,0.259259,0.273707,0.293103,0,0.25
43,0.16092,0.144444,0.15,0.333333,0.273707,0.293103,0,0.25
44,0.172414,0.266667,0.15,0.333333,0.273707,0.293103,0,0.25
43,0.195402,0.277778,0.4,0.222222,0.273707,0.293103,0,0.25
26,0.218391,0.222222,0.2,0.222222,0.273707,0.293103,0,0.25
36,0.149425,0.233333,0.25,0.111111,0.273707,0.293103,0,0.25
29,0.298851,0.122222,0.25,0.185185,0.273707,0.293103,0,0.25
33,0.229885,0.222222,0.15,0.222222,0.273707,0.293103,0,0.25
42,0.218391,0.244444,0.25,0.296296,0.273707,0.293103,0,0.25
29,0.218391,0.188889,0.2,0.185185,0.273707,0.293103,0,0.25
34,0.264368,0.088889,0.05,0.222222,0.273707,0.293103,0,0.25
32,0.183908,0.133333,0.3,0.259259,0.273707,0.293103,0,0.25
44,0.252874,0.177778,0.15,0.148148,0.273707,0.293103,0,0.25
19,0.172414,0.255556,0.15,0.222222,0.273707,0.293103,0,0.25
48,0.252874,0.088889,0.1,0.222222,0.30819,0.301724,1,0.517241
70,0.068966,0.533333,0.5,0.259259,0.30819,0.301724,1,0.517241
56,0.091954,0.233333,0.35,0.259259,0.30819,0.301724,1,0.517241
46,0.08046,0.222222,0.2,0.333333,0.30819,0.301724,1,0.517241
56,0.114943,0.388889,0.35,0.333333,0.30819,0.301724,1,0.517241
66,0.103448,0.388889,0.25,0.296296,0.30819,0.301724,1,0.517241
50,0.195402,0.288889,0.35,0.222222,0.30819,0.301724,1,0.517241
37,0.091954,0.411111,0.3,0.259259,0.30819,0.301724,1,0.517241
61,0.103448,0.422222,0.25,0.333333,0.30819,0.301724,1,0.517241
46,0.114943,0.366667,0.3,0.259259,0.30819,0.301724,1,0.517241
68,0.068966,0.3,0.25,0.37037,0.30819,0.301724,1,0.517241
51,0.068966,0.388889,0.35,0.185185,0.30819,0.301724,1,0.517241
62,0.045977,0.366667,0.4,0.111111,0.30819,0.301724,1,0.517241
66,0.137931,0.333333,0.3,0.185185,0.30819,0.301724,1,0.517241
35,0.287356,0.077778,0.1,0.222222,0.269397,0.293103,0.941176,0.469828
45,0.149425,0.155556,0.2,0.296296,0.269397,0.293103,0.941176,0.469828
34,0.195402,0.2,0.25,0.185185,0.269397,0.293103,0.941176,0.469828
26,0.16092,0.277778,0.2,0.296296,0.269397,0.293103,0.941176,0.469828
41,0.137931,0.255556,0.3,0.111111,0.269397,0.293103,0.941176,0.469828
36,0.206897,0.222222,0.25,0.222222,0.269397,0.293103,0.941176,0.469828
34,0.16092,0.111111,0.2,0.296296,0.269397,0.293103,0.941176,0.469828
38,0.229885,0.233333,0.25,0.259259,0.269397,0.293103,0.941176,0.469828
45,0.218391,0.222222,0.2,0.222222,0.269397,0.293103,0.941176,0.469828
33,0.206897,0.122222,0.3,0.222222,0.269397,0.293103,0.941176,0.469828
48,0.264368,0.166667,0.2,0.148148,0.269397,0.293103,0.941176,0.469828
31,0.321839,0.088889,0.3,0.185185,0.269397,0.293103,0.941176,0.469828
35,0.218391,0.2,0.15,0.222222,0.269397,0.293103,0.941176,0.469828
49,0.183908,0.311111,0.25,0.296296,0.269397,0.293103,0.941176,0.469828
